province_region,NOC code,Occupational Group,2016,2017,2018,2019,2020,2021,2022,2023
Canada,2224,Conservation and fishery officers,0,0,0,0,0,0,0,0
Canada,2225,Landscape and horticulture technicians and specialists,100,113,76,118,67,129,239,330
Canada,2231,Civil engineering technologists and technicians,23,22,8,18,18,16,76,95
Canada,2232,Mechanical engineering technologists and technicians,350,197,148,168,104,103,247,212
Canada,2233,Industrial engineering and manufacturing technologists and technicians,52,78,41,64,57,70,89,116
Canada,2234,Construction estimators,31,19,9,15,17,24,43,46
Canada,2241,Electrical and electronics engineering technologists and technicians,226,144,70,83,58,45,184,214
Canada,2242,Electronic service technicians (household and business equipment),61,71,54,75,53,54,99,100
Canada,2243,Industrial instrument technicians and mechanics,278,158,140,142,52,66,61,98
Canada,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",9,10,2,6,3,4,2,6
Canada,2251,Architectural technologists and technicians,14,7,7,20,15,21,53,40
Canada,2252,Industrial designers,16,8,9,10,11,8,29,37
Canada,2253,Drafting technologists and technicians,54,64,40,70,69,40,144,143
Canada,2254,Land survey technologists and technicians,16,9,13,3,11,12,35,23
Canada,2255,Technical occupations in geomatics and meteorology,106,20,9,1,18,0,2,4
Canada,2261,Non-destructive testers and inspection technicians,86,38,60,29,15,15,39,50
Canada,2262,Engineering inspectors and regulatory officers,4,20,19,17,6,1,4,2
Canada,2263,Inspectors in public and environmental health and occupational health and safety,78,121,139,9,20,28,27,31
Canada,2264,Construction inspectors,6,14,15,6,1,3,9,16
Canada,2271,"Air pilots, flight engineers and flying instructors",65,44,69,80,40,41,85,90
Canada,2272,Air traffic controllers and related occupations,2,1,7,2,0,0,5,1
Canada,2273,"Deck officers, water transport",238,265,169,227,141,90,89,116
Canada,2274,"Engineer officers, water transport",229,204,95,151,101,80,71,86
Canada,2275,Railway traffic controllers and marine traffic regulators,0,1,0,0,0,0,0,0
Canada,2281,Computer network technicians,67,47,41,74,85,124,269,278
Canada,2282,User support technicians,55,35,32,54,108,73,148,230
Canada,2283,Information systems testing technicians,23,35,26,58,42,50,77,100
Canada,3011,Nursing co-ordinators and supervisors,0,0,0,1,0,0,2,4
Canada,3012,Registered nurses and registered psychiatric nurses,81,36,65,372,338,377,509,612
Canada,3111,Specialist physicians,200,187,125,120,114,119,127,194
Canada,3112,General practitioners and family physicians,188,94,72,53,98,72,131,216
Canada,3113,Dentists,8,9,12,10,14,4,17,9
Canada,3114,Veterinarians,9,10,17,18,13,38,70,50
Canada,3121,Optometrists,0,1,2,0,0,1,1,1
Canada,3122,Chiropractors,1,3,0,2,0,0,0,1
