province_territory,2016,2017,2018,2019,2020,2021,2022,2023,region_code,region_name,noc_code,occupational_skill_type
New Brunswick,1.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1350,Edmundston--Woodstock,4,"Occupations in education, law and social, community and government services"
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350,Edmundston--Woodstock,5,"Occupations in art, culture, recreation and sport"
New Brunswick,4.0,1.0,1.0,15.0,7.0,0.0,33.0,56.0,1350,Edmundston--Woodstock,6,Sales and service occupations
New Brunswick,74.0,71.0,126.0,190.0,100.0,98.0,169.0,73.0,1350,Edmundston--Woodstock,7,"Trades, transport and equipment operators and related occupations"
New Brunswick,41.0,42.0,60.0,104.0,152.0,169.0,222.0,272.0,1350,Edmundston--Woodstock,8,"Natural resources, agriculture and related production occupations"
New Brunswick,0.0,0.0,0.0,16.0,9.0,27.0,58.0,37.0,1350,Edmundston--Woodstock,9,Occupations in manufacturing and utilities
Quebec,1.0,2.0,0.0,0.0,0.0,2.0,3.0,7.0,2410,Gaspésie -- Îles-de-la-Madeleine,0,Management occupations
Quebec,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,2410,Gaspésie -- Îles-de-la-Madeleine,1,"Business, finance and administration occupations"
Quebec,0.0,0.0,9.0,2.0,2.0,2.0,4.0,11.0,2410,Gaspésie -- Îles-de-la-Madeleine,2,Natural and applied sciences and related occupations
Quebec,3.0,1.0,2.0,0.0,5.0,8.0,13.0,45.0,2410,Gaspésie -- Îles-de-la-Madeleine,3,Health occupations
Quebec,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2410,Gaspésie -- Îles-de-la-Madeleine,4,"Occupations in education, law and social, community and government services"
Quebec,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2410,Gaspésie -- Îles-de-la-Madeleine,5,"Occupations in art, culture, recreation and sport"
Quebec,5.0,7.0,3.0,11.0,5.0,24.0,61.0,112.0,2410,Gaspésie -- Îles-de-la-Madeleine,6,Sales and service occupations
Quebec,0.0,0.0,10.0,5.0,5.0,9.0,20.0,29.0,2410,Gaspésie -- Îles-de-la-Madeleine,7,"Trades, transport and equipment operators and related occupations"
Quebec,24.0,8.0,27.0,32.0,37.0,41.0,61.0,18.0,2410,Gaspésie -- Îles-de-la-Madeleine,8,"Natural resources, agriculture and related production occupations"
Quebec,3.0,38.0,86.0,150.0,115.0,220.0,688.0,655.0,2410,Gaspésie -- Îles-de-la-Madeleine,9,Occupations in manufacturing and utilities
Quebec,1.0,2.0,0.0,5.0,1.0,0.0,5.0,11.0,2415,Bas-Saint-Laurent,0,Management occupations
Quebec,0.0,2.0,4.0,6.0,2.0,4.0,10.0,8.0,2415,Bas-Saint-Laurent,1,"Business, finance and administration occupations"
Quebec,3.0,4.0,19.0,16.0,10.0,6.0,10.0,19.0,2415,Bas-Saint-Laurent,2,Natural and applied sciences and related occupations
Quebec,1.0,1.0,3.0,3.0,20.0,22.0,65.0,66.0,2415,Bas-Saint-Laurent,3,Health occupations
Quebec,0.0,0.0,2.0,0.0,0.0,1.0,6.0,2.0,2415,Bas-Saint-Laurent,4,"Occupations in education, law and social, community and government services"
Quebec,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,2415,Bas-Saint-Laurent,5,"Occupations in art, culture, recreation and sport"
Quebec,1.0,1.0,14.0,13.0,25.0,25.0,156.0,225.0,2415,Bas-Saint-Laurent,6,Sales and service occupations
Quebec,7.0,3.0,12.0,18.0,30.0,36.0,137.0,191.0,2415,Bas-Saint-Laurent,7,"Trades, transport and equipment operators and related occupations"
Quebec,97.0,126.0,146.0,299.0,244.0,346.0,506.0,484.0,2415,Bas-Saint-Laurent,8,"Natural resources, agriculture and related production occupations"
Quebec,2.0,41.0,39.0,74.0,95.0,163.0,352.0,465.0,2415,Bas-Saint-Laurent,9,Occupations in manufacturing and utilities
Quebec,10.0,6.0,12.0,24.0,14.0,20.0,69.0,96.0,2420,Capitale-Nationale,0,Management occupations
Quebec,4.0,7.0,4.0,17.0,47.0,43.0,178.0,174.0,2420,Capitale-Nationale,1,"Business, finance and administration occupations"
Quebec,86.0,193.0,477.0,715.0,360.0,552.0,1098.0,775.0,2420,Capitale-Nationale,2,Natural and applied sciences and related occupations
Quebec,6.0,11.0,8.0,45.0,176.0,149.0,386.0,405.0,2420,Capitale-Nationale,3,Health occupations
Quebec,7.0,3.0,11.0,11.0,16.0,29.0,53.0,77.0,2420,Capitale-Nationale,4,"Occupations in education, law and social, community and government services"
Quebec,89.0,58.0,31.0,50.0,33.0,23.0,44.0,60.0,2420,Capitale-Nationale,5,"Occupations in art, culture, recreation and sport"
Quebec,33.0,54.0,84.0,188.0,342.0,151.0,1500.0,1618.0,2420,Capitale-Nationale,6,Sales and service occupations
Quebec,26.0,46.0,104.0,234.0,348.0,287.0,832.0,845.0,2420,Capitale-Nationale,7,"Trades, transport and equipment operators and related occupations"
Quebec,1174.0,1180.0,1237.0,1396.0,1342.0,1881.0,2040.0,1757.0,2420,Capitale-Nationale,8,"Natural resources, agriculture and related production occupations"
Quebec,0.0,0.0,1.0,83.0,119.0,137.0,609.0,389.0,2420,Capitale-Nationale,9,Occupations in manufacturing and utilities
Quebec,2.0,0.0,2.0,7.0,3.0,2.0,15.0,14.0,2425,Chaudière-Appalaches,0,Management occupations
Quebec,3.0,1.0,1.0,7.0,4.0,11.0,32.0,66.0,2425,Chaudière-Appalaches,1,"Business, finance and administration occupations"
Quebec,36.0,38.0,50.0,102.0,57.0,49.0,204.0,119.0,2425,Chaudière-Appalaches,2,Natural and applied sciences and related occupations
Quebec,0.0,0.0,6.0,45.0,54.0,57.0,145.0,168.0,2425,Chaudière-Appalaches,3,Health occupations
Quebec,1.0,0.0,0.0,0.0,3.0,2.0,11.0,16.0,2425,Chaudière-Appalaches,4,"Occupations in education, law and social, community and government services"
Quebec,0.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,2425,Chaudière-Appalaches,5,"Occupations in art, culture, recreation and sport"
Quebec,8.0,5.0,26.0,113.0,180.0,83.0,583.0,539.0,2425,Chaudière-Appalaches,6,Sales and service occupations
Quebec,83.0,141.0,264.0,454.0,592.0,396.0,1511.0,952.0,2425,Chaudière-Appalaches,7,"Trades, transport and equipment operators and related occupations"
Quebec,873.0,751.0,1026.0,1631.0,1497.0,2103.0,2411.0,1957.0,2425,Chaudière-Appalaches,8,"Natural resources, agriculture and related production occupations"
Quebec,11.0,156.0,179.0,653.0,664.0,486.0,1702.0,864.0,2425,Chaudière-Appalaches,9,Occupations in manufacturing and utilities
Quebec,6.0,4.0,4.0,1.0,2.0,4.0,8.0,12.0,2430,Estrie,0,Management occupations
Quebec,4.0,1.0,0.0,6.0,8.0,8.0,28.0,41.0,2430,Estrie,1,"Business, finance and administration occupations"
Quebec,25.0,15.0,40.0,64.0,94.0,109.0,155.0,135.0,2430,Estrie,2,Natural and applied sciences and related occupations
Quebec,30.0,7.0,5.0,12.0,25.0,20.0,56.0,73.0,2430,Estrie,3,Health occupations
Quebec,6.0,0.0,2.0,6.0,9.0,19.0,26.0,22.0,2430,Estrie,4,"Occupations in education, law and social, community and government services"
