Province_Region,NOC_Code,Occupation,2016,2017,2018,2019,2020,2021,2022,2023
Canada,5212,Technical occupations related to museums and art galleries,0.0,0.0,1.0,4.0,0.0,3.0,1.0,2.0
Canada,5221,Photographers,57.0,34.0,30.0,37.0,14.0,12.0,27.0,26.0
Canada,5222,Film and video camera operators,97.0,41.0,30.0,34.0,5.0,22.0,29.0,32.0
Canada,5223,Graphic arts technicians,12.0,14.0,14.0,14.0,22.0,10.0,30.0,26.0
Canada,5224,Broadcast technicians,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0
Canada,5225,Audio and video recording technicians,102.0,48.0,60.0,75.0,23.0,40.0,65.0,64.0
Canada,5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",143.0,80.0,114.0,64.0,33.0,15.0,39.0,35.0
Canada,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",96.0,39.0,57.0,37.0,8.0,20.0,14.0,13.0
Canada,5231,Announcers and other broadcasters,23.0,13.0,14.0,25.0,9.0,6.0,13.0,16.0
Canada,5232,"Other performers, n.e.c.",483.0,438.0,426.0,390.0,67.0,19.0,95.0,250.0
Canada,5241,Graphic designers and illustrators,1770.0,1295.0,940.0,1033.0,648.0,702.0,1418.0,1050.0
Canada,5242,Interior designers and interior decorators,18.0,21.0,21.0,23.0,27.0,21.0,39.0,41.0
Canada,5243,"Theatre, fashion, exhibit and other creative designers",63.0,24.0,21.0,31.0,11.0,16.0,18.0,33.0
Canada,5244,Artisans and craftspersons,25.0,19.0,23.0,15.0,13.0,11.0,34.0,23.0
Canada,5245,"Patternmakers - textile, leather and fur products",1.0,4.0,1.0,2.0,1.0,3.0,7.0,5.0
Canada,5251,Athletes,73.0,71.0,84.0,59.0,20.0,8.0,6.0,29.0
